"ecoevo_names","carnegie_names","checked","State_abbreviation","include_gsheetdb"
"Barnard College, Columbia University","Barnard College","Y","NY","Y"
"Caesar Kleberg Wildlife Research Institute- Texas A&M University-Kingsville","Texas A & M University-Kingsville","Y","TX","Y"
"Cal Poly Humboldt (formerly Humboldt State University)","California State Polytechnic University-Humboldt","Y","CA","Y"
"California Academy of Sciences",NA,"Y",NA,"N"
"City College of New York","CUNY City College","Y","NY","Y"
"Florida International University (FIU)","Florida International University","Y","FL","Y"
"Holden Forests & Gardens",NA,"Y",NA,"N"
"Messina College at Boston College","Boston College","Y","MA","Y"
"Miami University - Middletown Campus","Miami University-Middletown","Y","OH","Y"
"Minnesota Dept. of Natural Resources",NA,"Y",NA,"N"
"MIT","Massachusetts Institute of Technology","Y","MA","Y"
"Mountain Lake Biological Station, University of Virginia","University of Virginia-Main Campus","Y","VA","Y"
"National History Museum of Los Angeles County",NA,"Y",NA,"N"
"Nature Ecology & Evolution",NA,"Y",NA,"N"
"NOAA Great Lakes Environmental Research Laboratory"NA,"Y",NA,"N"
"Prince William Sound Science Center",NA,"Y",NA,"N"
"Smithsonian's National Zoo and Conservation Biology Institute",NA,"Y",NA,"N"
"SMU","Southern Methodist University","Y",NA,"N"
"Stowers Institute for Medical Research",NA,"Y",NA,"N"
"Tennessee Tech University","Tennessee Technological University","Y","TN","Y"
"Texas A&M - Galveston",NA,"Y",NA,"N"
"UNC Chapel Hill","University of North Carolina at Chapel Hill","Y","NC","Y"
"University of California, Los Angeles (UCLA)","University of California-Los Angeles","Y","CA","Y"
"University of Oklahoma / Sam Noble Oklahoma Museum of Natural History","University of Oklahoma-Norman Campus","Y","OK","Y"
"Virginia Institute of Marine Science",NA,"Y",NA,"N"
"Washington Department of Fish and Wildlife",NA,"Y",NA,"N"
"West Virginia University Tech","West Virginia University Institute of Technology","Y","WV","Y"
"Whitehead Institute",NA,"Y",NA,"N"
"Basis (non-profit applied AI research)",NA,"Y",NA,"N"
"Friday Harbor Labs/U Washington","University of Washington-Seattle Campus","Y","WA","Y"
"Lake Superior National Estuarine Research Reserve",NA,"Y",NA,"N"
"National Institute on Aging",NA,"Y",NA,"N"
"Notre Dame","University of Notre Dame","Y","IN","Y"
"The Wilderness Society",NA,"Y",NA,"N"
"UChicago","University of Chicago","Y","IL","Y"
"UCLA Mathias Botanical Garden","University of California-Los Angeles","Y","CA","Y"
"University of Colorado Boulder - CIRES","University of Colorado Boulder","Y","CO","Y"
"University of Georgia (Savannah River Ecology Lab)","University of Georgia","Y","GA","N"
"University of Hawaiʻi at Mānoa","University of Hawaii at Manoa","Y","HI","Y"
"University of Maryland Center for Environmental Science (UMCES)","University of Maryland-College Park","Y","MD","N"
"University of Michigan MIDAS","University of Michigan-Ann Arbor","Y","MI","N"
"Washington University","Washington University in St Louis","Y","MO","Y"
"William and Mary Virginia Institute of Marine Science","William & Mary","Y","VA","Y"
"All University of California universities",NA,"Y",NA,"N"
"American Museum of Natural History",NA,"Y",NA,"N"
"Appalachian Mountain Club",NA,"Y",NA,"N"
"Arbol",NA,"Y",NA,"N"
"Arcadia Science",NA,"Y",NA,"N"
"Archbold Biological Station",NA,"Y",NA,"N"
"Arizona State University","Arizona State University Campus Immersion","Y","AZ","Y"
"ARIZONA STATE UNIVERSITY","Arizona State University Campus Immersion","Y","AZ","Y"
"Arizona State University West Valley Campus",NA,"Y",NA,"N"
"Arizona State Unviersity","Arizona State University Campus Immersion","Y","AZ","Y"
"Arkansas State University","Arkansas State University","Y","AR","Y"
"Arkansas State University-Jonesboro","Arkansas State University","Y","AR","Y"
"Arnold Arboretum of Harvard University","Harvard University","Y","MA","Y"
"Atlanta Botanical Garden",NA,"Y",NA,"N"
"Ball State","Ball State University","Y","IN","Y"
"Baruch College",NA,"Y",NA,"N"
"Bell Museum, University of Minnesota","University of Minnesota-Twin Cities","Y","MN","Y"
"Bigelow Laboratory for Ocean Sciences",NA,"Y",NA,"N"
"Binghamton University - SUNY","Binghamton University","Y","NY","Y"
"Binghamton University SUNY","Binghamton University","Y","NY","Y"
"BioBus",NA,"Y",NA,"N"
"Black Rock Forest",NA,"Y",NA,"N"
"Bowling Green State University","Bowling Green State University-Main Campus","Y","OH","Y"
"Brigham and Women's Hospital",NA,"Y",NA,"N"
"Brooklyn College","CUNY Brooklyn College","Y","NY","Y"
"Caesar Kleberg Wildlife Research Institute",NA,"Y",NA,"N"
"Caesar Kleberg Wildlife Research Institute - Texas A&M University-Kingsville","Texas A & M University-Kingsville","Y","TX","Y"
"Caesar Kleberg Wildlife Research Institute, Texas A&M University-Kingsville","Texas A & M University-Kingsville","Y","TX","Y"
"Caesar Kleberg Wildlife Research Institute, Texas A&M University-Kingsville ","Texas A & M University-Kingsville","Y","TX","Y"
"Cal Poly - San Luis Obispo","California Polytechnic State University-San Luis Obispo","Y","CA","Y"
"Cal Poly Humboldt","California State Polytechnic University-Humboldt","Y","CA","Y"
"Cal Poly Humboldt (aka Humboldt State)","California State Polytechnic University-Humboldt","Y","CA","Y"
"Cal Poly Pomona","California State Polytechnic University-Pomona","Y","CA","Y"
"Cal Poly San Luis Obispo","California Polytechnic State University-San Luis Obispo","Y","CA","Y"
"Cal Poly, San luis Obispo","California Polytechnic State University-San Luis Obispo","Y","CA","Y"
"Cal Poly, San Luis Obispo","California Polytechnic State University-San Luis Obispo","Y","CA","Y"
"Cal State Dominguez Hills","California State University-Dominguez Hills","Y","CA","Y"
"Cal State Fullerton","California State University-Fullerton","Y","CA","Y"
"Cal State Long Beach","California State University-Long Beach","Y","CA","Y"
"Cal State Northridge","California State University-Northridge","Y","CA","Y"
"Cal State San Marcos","California State University-San Marcos","Y","CA","Y"
"Cal State, Long Beach","California State University-Long Beach","Y","CA","Y"
"California Department of Fish and Wildlife",NA,"Y",NA,"N"
"California Department of Water Resources",NA,"Y",NA,"N"
"California Dept of Fish & Wildlife",NA,"Y",NA,"N"
"California Ocean Science Trust",NA,"Y",NA,"N"
"California State - Fresno","California State University-Fresno","Y","CA","Y"
"California State Polytechnic University, Humboldt","California State Polytechnic University-Humboldt","Y","CA","Y"
"Caltech","California Institute of Technology","Y","CA","Y"
"Caney Fork Farms",NA,"Y",NA,"N"
"Carnegie Institution for Science",NA,"Y",NA,"N"
"Carnegie Institution-Stanford",NA,"Y",NA,"N"
"Cary Institute",NA,"Y",NA,"N"
"Cary Institute of Ecosystem Studies",NA,"Y",NA,"N"
"CDC Center for Forecasting and Outbreak Analytics",NA,"Y",NA,"N"
"Chicago Botanic Garden",NA,"Y",NA,"N"
"Chicago Botanic Garden - Synthesis Center for Conservation & Restoration",NA,"Y",NA,"N"
"Chicago Botanical Garden",NA,"Y",NA,"N"
"Chicago region research institutions",NA,"Y",NA,"N"
"Cleveland Museum of Natural History",NA,"Y",NA,"N"
"Colgate Unviersity","Colgate University","Y","NY","Y"
"College of The Holy Cross","College of the Holy Cross","Y","MA","Y"
"Colorado State University","Colorado State University-Fort Collins","Y","CO","Y"
"Colorado State University & Rocky Mountain Research Station (USFS)","Colorado State University-Fort Collins","Y","CO","Y"
"Columbia University","Columbia University in the City of New York","Y","NY","Y"
"Connecticut Agricultural Experiment Station",NA,"Y",NA,"N"
"Conservation Science Partners",NA,"Y",NA,"N"
"Cooperative Institute for Marine and Atmospheric Research (CIMAR)",NA,"Y",NA,"N"
"Cornell","Cornell University","Y","NY","Y"
"Cornell AgriTech",NA,"Y",NA,"N"
"Cornell Lab of Ornithology","Cornell University","Y","NY","Y"
"Cornell Lab of Ornithology, Cornell University","Cornell University","Y","NY","Y"
"Cornell University - New York Invasive Species Research Institute",NA,"Y",NA,"N"
"Cornell University (AgriTech)","Cornell University","Y","NY","Y"
"Cornell University, Lab of Ornithology","Cornell University","Y","NY","Y"
"Cosmic Eats",NA,"Y",NA,"N"
"CSU Monterey Bay","California State University-Monterey Bay","Y","CA","Y"
"CU Boulder","University of Colorado Boulder","Y","CO","Y"
"CUNY (Brooklyn)","CUNY Brooklyn College","Y","NY","Y"
"Dauphin Island Sea Lab",NA,"Y",NA,"N"
"Dauphin Island Sea Lab / Univ of South Alabama","University of South Alabama","Y","AL","Y"
"Delaware Museum of Nature and Science",NA,"Y",NA,"N"
"Delta County Conservation District",NA,"Y",NA,"N"
"Denver Museum of Nature and Science",NA,"Y",NA,"N"
"Duke University Marine Lab","Duke University","Y","NC","Y"
"Duke Unvirsity","Duke University","Y","NC","Y"
"Duolingo",NA,"Y",NA,"N"
"Earth Lab, CIRES, University of Colorado","University of Colorado Boulder","Y","CO","Y"
"Earth Lab, CIRES, University of Colorado Boulder","University of Colorado Boulder","Y","CO","Y"
"East Stroudsburg University","East Stroudsburg University of Pennsylvania","Y","PA","Y"
"Eastern New Mexico University","Eastern New Mexico University-Main Campus","Y","NM","Y"
"EcoHealth Alliance",NA,"Y",NA,"N"
"Environmental Law Alliance Worldwide",NA,"Y",NA,"N"
